,idProd
1470,28539457
1471,28539334
1472,28539331
1473,28539469
1474,28539323
1475,28539322
1476,28539481
1477,28539485
1478,28539489
1479,28539295
1480,28539275
1481,28539292
1482,28539279
1483,28539554
1484,28539287
1485,28539289
1486,28552926
1487,28552918
1488,28553146
1489,28553143
1490,28552910
1491,28553138
1492,28553118
1493,28553094
1494,28553090
1495,28553104
1496,28552880
1497,28552900
1498,28552904
1499,28553135
1500,28553184
1501,28553076
1502,28552866
1503,28552862
1504,28552860
1505,28552852
1506,28553008
1507,28552842
1508,28553006
1509,28553004
1510,28553000
1511,28553009
1512,28552849
1513,28552837
1514,28552994
1515,28552835
1516,28552990
1517,28552863
1518,28552865
1519,28552988
1520,28552985
1521,28552830
1522,28552881
1523,28553085
1524,28552827
1525,28553101
1526,28552974
1527,28552893
1528,28552973
1529,28553125
1530,28552822
1531,28553137
1532,28552964
1533,28552911
1534,28552963
1535,28552913
1536,28552915
1537,28553157
1538,28552819
1539,28552958
1540,28552921
1541,28552923
1542,28552956
1543,28553232
1544,28552929
1545,28552954
1546,28553185
1547,28553216
1548,28552946
1549,28553215
1550,28552815
1551,28552957
1552,28553203
1553,28552937
1554,28553196
1555,28552936
1556,28553192
1557,28553191
1558,31673392
1559,31673345
1560,31673428
1561,31673381
1562,31673361
1563,31673380
1564,31673418
1565,31673378
1566,31673377
1567,31673262
1568,31673259
1569,31673258
1570,31673256
1571,31673252
1572,31673251
1573,31673226
1574,31673222
1575,31673217
1576,31673216
1577,31673212
1578,31673211
1579,31673210
1580,31673209
1581,31673186
1582,31673175
1583,31673172
1584,31673171
1585,31673169
1586,31673137
1587,31673127
1588,31673185
1589,31673111
1590,31673083
1591,31673061
1592,31673060
1593,31673025
1594,31673023
1595,31673021
1596,31673020
1597,31673017
1598,31673015
1599,31673009
1600,31673007
1601,31673002
1602,31672999
1603,31673333
1604,31673326
1605,31673323
1606,31673318
1607,31673325
1608,31673283
1609,31673329
1610,31673281
1611,31673280
1612,31673335
1613,31673337
1614,31673275
1615,31673341
1616,31673268
1617,30649533
1618,30650404
1619,31525933
1620,31525981
1621,28145557
1622,28145752
1623,28145421
1624,28145725
1625,28145715
1626,28145767
