Ano base	Cod PPG	Nome PPG	Área Básica	IES Principal Sigla	IES Principal Nome	IES da Rede Sigla	Status Jurídico	UF	Região	PPG Ano Início	Modalidade	Mudança de modalidade no quadriênio?	Nota/ conceito	Nível	Ano Início Nível	Sofreu migração no quadriênio?	Total	Permanentes	Colaboradores	Visitantes	Total Distinto	"Mestrado
(ME)"	"Doutorado
(DO)"	"Total Geral
(ME+DO)"	Matrícula Anterior ao Ano Base	Ingressante 	Titulado	Abandono	Desligado	Mud. Nível sem Defesa	Matriculado	Matrícula Anterior ao Ano Base	Ingressante 	Titulado	Abandono	Desligado	Matriculado	Desligado/Matriculado	Abandono/Matriculado	Titulado/Matriculado	Matriculado/DP	Titulado/DP	Desligado/Matriculado	Abandono/Matriculado	Titulado/Matriculado	Matriculado/DP	Titulado/DP	Matriculado/DP	Titulado/DP	Matriculado/Total Docentes	Titulado/Total Docentes	ID_ADD_FOTO_PROGRAMA_IES_PRINC	ID_ADD_FOTO_PROGRAMA	Tipo de Clientela
2018	22002014002P1	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UNIFOR	UNIVERSIDADE DE FORTALEZA		PARTICULAR	CE	NORDESTE	1999	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1999/2011	NÃO	16	16	0	0	129	90	41	131	72	18	25	0	16	0	49	31	10	10	0	2	29	0.33	0	0.51	3.06	1.56	0.07	0	0.34	1.81	0.63	4.88	2.19	4.88	2.19	170161	103940	AVALIAÇÃO
2019	22002014002P1	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UNIFOR	UNIVERSIDADE DE FORTALEZA		PARTICULAR	CE	NORDESTE	1999	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1999/2011	NÃO	16	16	0	0	95	62	36	98	49	13	19	0	10	0	33	29	7	4	0	1	31	0.3	0	0.58	2.06	1.19	0.03	0	0.13	1.94	0.25	4	1.44	4	1.44	170163	103942	AVALIAÇÃO
2020	22002014002P1	INFORMÁTICA APLICADA	CIÊNCIA DA COMPUTAÇÃO	UNIFOR	UNIVERSIDADE DE FORTALEZA		PARTICULAR	CE	NORDESTE	1999	ACADÊMICO	NÃO	4	MESTRADO/DOUTORADO	1999/2011	NÃO	16	16	0	0	88	53	35	88	33	20	11	0	1	0	41	31	4	4	0	3	28	0.02	0	0.27	2.56	0.69	0.11	0	0.14	1.75	0.25	4.31	0.94	4.31	0.94	201937	133654	AVALIAÇÃO
2017	22003010018P1	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UECE	UNIVERSIDADE ESTADUAL DO CEARÁ		ESTADUAL	CE	NORDESTE	2007	ACADÊMICO	NÃO	4	MESTRADO	2007	NÃO	14	12	0	2	62	62	0	62	40	22	16	1	6	0	39	0	0	0	0	0	0	0.15	0.03	0.41	3.25	1.33				0	0	3.25	1.33	2.79	1.14	176734	109465	AVALIAÇÃO
2018	22003010018P1	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UECE	UNIVERSIDADE ESTADUAL DO CEARÁ		ESTADUAL	CE	NORDESTE	2007	ACADÊMICO	NÃO	4	MESTRADO	2007	NÃO	13	12	0	1	57	57	0	57	39	18	16	1	6	0	34	0	0	0	0	0	0	0.18	0.03	0.47	2.83	1.33				0	0	2.83	1.33	2.62	1.23	176587	109327	AVALIAÇÃO
2019	22003010018P1	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UECE	UNIVERSIDADE ESTADUAL DO CEARÁ		ESTADUAL	CE	NORDESTE	2007	ACADÊMICO	NÃO	4	MESTRADO	2007	NÃO	13	12	1	0	52	52	0	52	34	18	8	0	2	0	42	0	0	0	0	0	0	0.05	0	0.19	3.5	0.67				0	0	3.5	0.67	3.23	0.62	176173	109102	AVALIAÇÃO
2020	22003010018P1	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	UECE	UNIVERSIDADE ESTADUAL DO CEARÁ		ESTADUAL	CE	NORDESTE	2007	ACADÊMICO	NÃO	4	MESTRADO	2007	NÃO	13	12	1	0	70	70	0	70	43	27	13	0	0	0	57	0	0	0	0	0	0	0	0	0.23	4.75	1.08				0	0	4.75	1.08	4.38	1	205188	136438	AVALIAÇÃO
2017	22008012004P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	IFCE	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ		FEDERAL	CE	NORDESTE	2014	ACADÊMICO	NÃO	3	MESTRADO	2014	NÃO	21	17	4	0	54	54	0	54	39	15	18	1	0	0	35	0	0	0	0	0	0	0	0.03	0.51	2.06	1.06				0	0	2.06	1.06	1.67	0.86	130951	67735	AVALIAÇÃO
2018	22008012004P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	IFCE	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ		FEDERAL	CE	NORDESTE	2014	ACADÊMICO	NÃO	3	MESTRADO	2014	NÃO	18	15	3	0	51	51	0	51	35	16	8	3	0	0	40	0	0	0	0	0	0	0	0.08	0.2	2.67	0.53				0	0	2.67	0.53	2.22	0.44	138811	74609	AVALIAÇÃO
2019	22008012004P2	CIÊNCIA DA COMPUTAÇÃO	CIÊNCIA DA COMPUTAÇÃO	IFCE	INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ		FEDERAL	CE	NORDESTE	2014	ACADÊMICO	NÃO	3	MESTRADO	2014	NÃO	18	17	1	0	59	59	0	59	41	18	13	0	2	0	44	0	0	0	0	0	0	0.05	0	0.3	2.59	0.76				0	0	2.59	0.76	2.44	0.72	174976	108138	AVALIAÇÃO
